,alf CMa,ICRS,6,45,8.91728,-16,42,58.0171,-546.01,-1223.07,-5.5,379.21,-1.46
,alf Car,ICRS,6,23,57.10988,-52,41,44.381,19.93,23.24,20.3,10.55,-0.74
,alf Cen,ICRS,14,39,29.71993,-60,49,55.999,-3608,686,-22.3,742,-0.1
,alf Boo,ICRS,14,15,39.67207,19,10,56.673,-1093.39,-2000.06,-5.23,88.83,-0.05
,alf Cen A,ICRS,14,39,36.494,-60,50,2.3737,-3679.25,473.67,-21.4,743,0.01
,alf Lyr,ICRS,18,36,56.33635,38,47,1.2802,200.94,286.23,-20.6,130.23,0.03
,alf Aur,ICRS,5,16,41.35871,45,59,52.7693,75.25,-426.89,29.19,76.2,0.08
,bet Ori,ICRS,5,14,32.2721,-8,12,5.8981,1.31,0.5,17.8,3.78,0.13
,alf CMi,ICRS,7,39,18.1195,5,13,29.9552,-714.59,-1036.8,-15.91,284.56,0.37
,alf Ori,ICRS,5,55,10.30536,7,24,25.4304,27.54,11.3,21.91,6.55,0.42
,alf Eri,ICRS,1,37,42.84548,-57,14,12.3101,87,-38.24,18.6,23.39,0.46
,bet Cen,ICRS,14,3,49.40535,-60,22,22.9266,-33.27,-23.16,5.9,8.32,0.58
,alf Aql,ICRS,19,50,46.99855,8,52,5.9563,536.23,385.29,-26.6,194.95,0.76
,alf Tau,ICRS,4,35,55.23907,16,30,33.4885,63.45,-188.94,54.4,48.94,0.86
,alf Sco,ICRS,16,29,24.4597,-26,25,55.2094,-12.11,-23.3,-3.5,5.89,0.91
,alf Vir,ICRS,13,25,11.57937,-11,9,40.7501,-42.35,-30.67,1,13.06,0.97
,bet Gem,ICRS,7,45,18.94987,28,1,34.316,-626.55,-45.8,3.39,96.54,1.14
,alf PsA,ICRS,22,57,39.04625,-29,37,20.0533,328.95,-164.67,6.5,129.81,1.16
,bet Cru,ICRS,12,47,43.26877,-59,41,19.5792,-42.97,-16.18,10.3,11.71,1.25
,alf Cyg,ICRS,20,41,25.91514,45,16,49.2197,2.01,1.85,-4.9,2.31,1.25
,alf01 Cru,ICRS,12,26,35.896,-63,5,56.73,-35.4,-14.7,-11.2,NA,1.28
,alf Cen B,ICRS,14,39,35.06311,-60,50,15.0992,-3614.39,802.98,-22.59,743,1.33
,alf Leo,ICRS,10,8,22.31099,11,58,1.9516,-248.73,5.59,5.9,41.13,1.4
,eps CMa,ICRS,6,58,37.54876,-28,58,19.5102,3.24,1.33,27.3,8.05,1.5
,alf02 Cru,ICRS,12,26,36.442,-63,5,58.28,-42.5,-7.7,-0.6,NA,1.58
,alf Gem,ICRS,7,34,35.87319,31,53,17.816,-191.45,-145.19,5.4,64.12,1.58
,lam Sco,ICRS,17,33,36.52012,-37,6,13.7648,-8.53,-30.8,-3,5.71,1.62
,gam Ori,ICRS,5,25,7.86325,6,20,58.9318,-8.11,-12.88,18.2,12.92,1.64
,gam Cru,ICRS,12,31,9.95961,-57,6,47.5684,28.23,-265.08,21,36.83,1.64
,bet Tau,ICRS,5,26,17.51312,28,36,26.8262,22.76,-173.58,9.2,24.36,1.65
,bet Car,ICRS,9,13,11.97746,-69,43,1.9473,-156.47,108.95,-5.1,28.82,1.69
